No,Name,Type,3 Year Funds Offered,3 Year Funds Sold,Est. Most Recent Fund Date,Investor Location,Investor City,Investor State,Investor Country,Portfolio Size,Number of Deals,Website,Average Growth Score
1,Gentry Venture Partners,VC,$10.9B,$518.3M,12/22/2016,Chicago,Chicago,IL,USA,0,0,gsvfg.com,0
2,Serpent Venture Capital,VC,$7.0B,$0.00,11/24/2015,Petal,Petal,MS,USA,0,0,serpentcorporation.com,0
3,Tiger Global Management,VC,$6.5B,$6.5B,11/30/2015,New York,New York,NY,USA,123,191,tigerglobal.com,"1,081"
4,Accel Partners,VC,$4.8B,$4.4B,12/1/2016,Bay Area,Palo Alto,CA,USA,525,905,accel.com,516
5,Andreessen Horowitz,VC,$4.2B,$4.1B,7/28/2016,Bay Area,Menlo Park,CA,USA,359,536,a16z.com,388
6,New Enterprise Associates,VC,$2.9B,$350.0M,4/15/2015,Bay Area,Menlo Park,CA,USA,565,908,nea.com,425
7,Kleiner Perkins Caufield & Byers,VC,$2.6B,$0.00,6/29/2016,Bay Area,Menlo Park,CA,USA,520,898,kpcb.com,662
8,Lightspeed Venture Partners,VC,$2.3B,$2.3B,3/8/2016,Bay Area,Menlo Park,CA,USA,294,499,lsvp.com,278
9,Founders Fund,VC,$2.3B,$2.3B,3/25/2016,Bay Area,San Francisco,CA,USA,178,247,foundersfund.com,527
10,Yorktown Energy Partners,VC,$1.9B,$219.0M,6/27/2016,New York,New York,NY,USA,0,0,,0
11,Iconiq Capital,VC,$1.9B,$10.3B,12/16/2016,Bay Area,San Francisco,CA,USA,0,0,iconiqcapital.com,0
12,DFJ Growth,VC,$1.7B,$1.1B,6/21/2016,Bay Area,Menlo Park,CA,USA,0,0,dfjgrowth.com,0
13,IDG Ventures,VC,$1.7B,$65.2M,8/7/2015,Bay Area,San Francisco,CA,USA,99,123,idg-ventures.com,273
14,ARCH Venture Partners,VC,$1.6B,$808.9M,11/18/2016,Chicago,Chicago,IL,USA,86,141,archventure.com,84
15,Shunwei China Internet Fund,VC,$1.5B,$0.00,7/6/2015,Beijing,Beijing,,CHN,0,0,shunwei.com,0
16,Sofinnova Ventures,VC,$1.5B,$885.9M,8/23/2016,Bay Area,Menlo Park,CA,USA,115,178,sofinnova.com,47
17,Bain Capital Ventures,VC,$1.5B,$1.5B,7/8/2016,Boston,Boston,MA,USA,192,273,baincapitalventures.com,318
18,Institutional Venture Partners (IVP),VC,$1.4B,$1.4B,12/28/2015,Bay Area,Menlo Park,CA,USA,109,159,ivp.com,622
19,Khosla Ventures,VC,$1.4B,$0.00,12/17/2014,Bay Area,Menlo Park,CA,USA,276,452,khoslaventures.com,250
20,Silversmith Capital Partners,VC,$1.4B,$0.00,7/30/2015,Boston,Boston,MA,USA,0,0,silversmithcapital.com,0
21,Industry Ventures,VC,$1.3B,$1.3B,7/15/2016,Bay Area,San Francisco,CA,USA,107,116,industryventures.com,"2,106"
22,Formation 8,VC,$1.3B,$282.1M,9/21/2016,Bay Area,San Francisco,CA,USA,98,119,formation8.com,261
23,Polaris Partners,VC,$1.3B,$461.6M,7/12/2016,Boston,Boston,MA,USA,193,351,polarispartners.com,103
24,Spark Capital,VC,$1.3B,$378.5M,4/12/2016,Boston,Boston,MA,USA,161,264,sparkcapital.com,392
25,ARC Financial,VC,$1.3B,$0.00,3/13/2015,Calgary,Calgary,CAN-AB,CAN,0,0,arcfinancial.com,0
26,Index Ventures,VC,$1.2B,$1.2B,12/20/2016,Bay Area,San Francisco,CA,USA,353,558,indexventures.com,369
27,QiMing Venture Partners,VC,$1.2B,$75.0M,2/4/2016,Shanghai,Shanghai,,CHN,0,0,qimingventures.com,0
28,Thrive Capital,VC,$1.1B,$1.1B,7/18/2016,New York,New York,NY,USA,75,109,thrivecap.com,576
29,Morningside Group,VC,$1.1B,$974.2M,8/22/2015,Shanghai,Shanghai,,CHN,94,151,morningside.com,155
30,GGV Capital,VC,$1.1B,$629.4M,2/24/2015,Bay Area,Menlo Park,CA,USA,166,216,ggvc.com,486
31,Longitude Capital,VC,$1.1B,$1.1B,6/22/2016,Bay Area,Menlo Park,CA,USA,0,0,longitudecapital.com,0
32,Matrix Partners China,VC,$1.0B,$938.8M,10/11/2016,Beijing,Beijing,,CHN,104,126,matrixpartners.com.cn,102
33,DCM Ventures,VC,$1.0B,$752.5M,7/29/2016,Beijing,Beijing,,CHN,207,312,dcm.com,190
34,Columbia Capital,VC,$1.0B,$874.8M,6/22/2015,Washington D.C.,Alexandria,VA,USA,0,103,colcap.com,0
35,True Ventures,VC,$965.3M,$15.3M,7/20/2016,Bay Area,San Francisco,CA,USA,200,355,trueventures.com,154
36,Data Collective,VC,$927.7M,$677.7M,12/29/2016,Bay Area,San Francisco,CA,USA,155,205,dcvc.com,246
37,Playground Global,VC,$854.0M,$296.4M,11/22/2016,Palo Alto,Palo Alto,CA,USA,0,0,playground.global,0
38,Vivo Capital,VC,$850.3M,$850.3M,6/3/2016,Bay Area,Palo Alto,CA,USA,0,0,vivocapital.net,0
39,FirstMark Capital,VC,$845.2M,$688.2M,8/5/2016,New York,New York,NY,USA,103,180,firstmarkcap.com,364
40,General Catalyst Partners,VC,$825.0M,$825.0M,2/4/2016,Boston,Cambridge,MA,USA,292,463,generalcatalyst.com,277
41,The Column Group,VC,$816.0M,$816.0M,4/27/2016,Bay Area,San Francisco,CA,USA,0,0,thecolumngroup.com,0
42,Tola Capital,VC,$816.0M,$793.7M,11/14/2016,Seattle,Seattle,WA ,USA,0,0,tolacapital.com,0
43,H Capital,VC,$800.0M,$300.0M,8/28/2015,Beijing,Beijing,,CHN,0,0,hcapital.in,0
44,ABS Capital Partners,VC,$800.0M,$299.6M,7/25/2016,Washington D.C.,Baltimore,MD,USA,0,0,abscapital.com,0
45,Foundry Group,VC,$789.8M,$289.8M,4/12/2016,Boulder,Boulder,CO,USA,119,213,foundrygroup.com,244
46,DBL Investors,VC,$760.3M,$760.3M,6/25/2015,Bay Area,San Francisco,CA,USA,0,0,dblinvestors.com,0
47,Sozo Ventures,VC,$750.0M,$168.0M,1/29/2016,Bay Area,San Francisco,CA,USA,0,0,sozo.ventures,0
48,MPM Capital,VC,$715.9M,$715.9M,7/9/2015,Boston,Boston,MA,USA,83,121,mpmcapital.com,41
49,Bessemer Venture Partners,VC,$711.0M,$711.0M,2/27/2015,Boston,Cambridge,MA,USA,305,492,bvp.com,385
50,Catalyst Investors,VC,$700.0M,$0.00,1/28/2015,New York,New York,NY,USA,0,0,catalystinvestors.com,0
51,Flagship Ventures,VC,$700.0M,$0.00,6/29/2016,Boston,Cambridge,MA,USA,77,139,flagshipventures.com,103
